series_name,fred_group,include_hist,include_2007,include_full,uv_nb_hist,uv_break_dates_hist,cv_nb_hist,cv_break_dates_hist,uv_nb_2007,uv_break_dates_2007,cv_nb_2007,cv_break_dates_2007,uv_nb_full,uv_break_dates_full,cv_nb_full,cv_break_dates_full
RPI,Output and Income,1,1,1,0,,0,,0,,0,,0,,5,01-Apr-1970 | 01-Feb-1995 | 01-Nov-2004 | 01-Jul-2016 | 01-Sep-2022
W875RX1,Output and Income,1,1,1,0,,0,,0,,2,01-Nov-1965 | 01-Jun-1972,0,,2,01-Dec-1965 | 01-Jul-1972
DPCERA3M086SBEA,Orders and Inventories,1,1,1,1,01-Feb-1987,1,01-Feb-1987,1,01-Feb-1987,1,01-Feb-1987,0,,0,
CMRMTSPLx,Orders and Inventories,1,1,1,2,01-Aug-1966 | 01-Sep-1992,1,01-Oct-1980,2,01-Aug-1966 | 01-Sep-1992,1,01-Oct-1980,2,01-Aug-1966 | 01-Sep-2019,1,01-Dec-1980
RETAILx,Orders and Inventories,1,1,1,1,01-Feb-1987,1,01-Nov-1987,1,01-Feb-1987,1,01-Nov-1987,0,,0,
INDPRO,Output and Income,1,1,1,1,01-Jan-1984,1,01-Jan-1984,1,01-Jan-1984,1,01-Jan-1984,1,01-Jan-1984,0,
IPFPNSS,Output and Income,1,1,1,3,01-Feb-1983 | 01-Apr-1989 | 01-Mar-1992,1,01-Jan-1984,4,01-Feb-1983 | 01-Apr-1989 | 01-Jun-1995 | 01-Oct-2001,2,01-Jan-1984 | 01-Jan-2000,0,,0,
IPFINAL,Output and Income,1,1,1,2,01-Feb-1983 | 01-Apr-1989,2,01-Feb-1983 | 01-Apr-1989,3,01-Feb-1983 | 01-Apr-1989 | 01-Jan-2000,4,01-Feb-1983 | 01-Apr-1989 | 01-Nov-1998 | 01-Apr-2006,0,,0,
IPCONGD,Output and Income,1,1,1,1,01-Sep-1975,0,,2,01-Sep-1975 | 01-Oct-2000,1,01-Sep-1975,0,,0,
IPDCONGD,Output and Income,1,1,1,0,,0,,1,01-Apr-1965,1,01-Feb-1982,0,,0,
IPNCONGD,Output and Income,1,1,1,0,,0,,0,,0,,0,,0,
IPBUSEQ,Output and Income,1,1,1,1,01-Oct-1982,1,01-Dec-1982,1,01-Oct-1982,1,01-Dec-1982,0,,0,
IPMAT,Output and Income,1,1,1,1,01-Apr-1965,1,01-Mar-1983,1,01-Jan-1984,1,01-Mar-1983,1,01-Apr-1965,2,01-Mar-1983 | 01-Sep-2019
IPDMAT,Output and Income,1,1,1,1,01-Apr-1965,1,01-Jan-1983,2,01-Apr-1965 | 01-Feb-1984,1,01-Jan-1983,1,01-Apr-1965,1,01-Jan-1983
IPNMAT,Output and Income,1,1,1,2,01-Jan-1984 | 01-Jun-1993,3,01-Jun-1965 | 01-Jan-1983 | 01-Jun-1993,1,01-Jan-1984,1,01-Jan-1983,0,,0,
IPMANSICS,Output and Income,1,1,1,1,01-Oct-1983,1,01-Jan-1984,1,01-Feb-1984,1,01-Jan-1984,0,,0,
IPB51222S,Output and Income,1,1,1,1,01-Aug-1973,2,01-Dec-1966 | 01-Nov-1973,1,01-Aug-1973,2,01-Dec-1966 | 01-Nov-1973,2,01-Aug-1973 | 01-Oct-2015,2,01-Nov-1973 | 01-Sep-2009
IPFUELS,Output and Income,1,1,1,1,01-Dec-1992,2,01-Feb-1974 | 01-Sep-1986,0,,0,,0,,0,
CUMFNS,Output and Income,1,1,1,1,01-Feb-1984,1,01-Apr-1982,1,01-Feb-1984,1,01-Apr-1982,1,01-Feb-1984,0,
HWI,Labor Market,1,1,1,2,01-May-1969 | 01-Sep-1993,2,01-Sep-1968 | 01-Dec-1993,2,01-May-1969 | 01-Oct-1995,2,01-Aug-1977 | 01-Apr-1995,3,01-May-1969 | 01-Oct-1995 | 01-Oct-2019,3,01-Jan-1979 | 01-May-1997 | 01-Nov-2019
HWIURATIO,Labor Market,1,1,1,2,01-Jan-1975 | 01-Oct-1993,3,01-Jul-1967 | 01-Feb-1975 | 01-Oct-1993,0,,0,,2,01-Jan-2014 | 01-Mar-2020,5,01-May-1975 | 01-Oct-2007 | 01-May-2014 | 01-Sep-2015 | 01-Jun-2020
CLF16OV,Labor Market,1,1,1,3,01-Aug-1968 | 01-Oct-1983 | 01-Sep-1993,3,01-Sep-1965 | 01-Oct-1983 | 01-Sep-1993,2,01-Aug-1968 | 01-Oct-1983,2,01-Sep-1965 | 01-Oct-1983,1,01-Jul-1975,2,01-Aug-1983 | 01-Nov-2019
CE16OV,Labor Market,1,1,1,2,01-Oct-1965 | 01-Feb-1992,2,01-Jul-1965 | 01-Mar-1992,2,01-Oct-1965 | 01-Aug-1984,2,01-Oct-1965 | 01-Feb-1986,0,,0,
UNRATE,Labor Market,1,1,1,1,01-Jul-1984,1,01-Dec-1986,1,01-Jul-1984,1,01-Feb-1986,0,,0,
UEMPMEAN,Labor Market,1,1,1,0,,1,01-Aug-1965,0,,2,01-Jun-1966 | 01-Nov-1974,3,01-Jul-2008 | 01-Jan-2018 | 01-May-2024,3,01-Sep-2008 | 01-Mar-2018 | 01-Jul-2024
UEMPLT5,Labor Market,1,1,1,3,01-May-1965 | 01-Feb-1985 | 01-Sep-1993,2,01-Nov-1983 | 01-Aug-1993,0,,3,01-Apr-1970 | 01-Sep-1984 | 01-Jul-1993,0,,0,
UEMP5TO14,Labor Market,1,1,1,1,01-Jan-1975,1,01-Dec-1980,1,01-Jan-1975,1,01-Jul-1975,0,,0,
UEMP15OV,Labor Market,1,1,1,1,01-Jun-1976,1,01-Mar-1971,1,01-Jun-1976,1,01-Feb-1971,0,,1,01-Nov-2019
UEMP15T26,Labor Market,1,1,1,1,01-Feb-1971,1,01-Jul-1976,1,01-Feb-1971,1,01-Dec-1970,1,01-Sep-2019,0,
UEMP27OV,Labor Market,1,1,1,1,01-Jul-1976,1,01-Apr-1980,1,01-Jul-1976,1,01-Jun-1976,1,01-Jul-1976,4,01-Jun-1980 | 01-Dec-1997 | 01-Jun-2009 | 01-Oct-2019
CLAIMSx,Labor Market,1,1,1,2,01-Sep-1983 | 01-Dec-1992,2,01-Jan-1984 | 01-Dec-1992,1,01-Apr-1984,1,01-Sep-1983,0,,0,
PAYEMS,Labor Market,1,1,1,4,01-Oct-1974 | 01-Feb-1984 | 01-May-1990 | 01-Sep-1992,1,01-Sep-1983,1,01-Jul-1984,1,01-Sep-1983,0,,0,
USGOOD,Labor Market,1,1,1,3,01-Nov-1983 | 01-Jan-1990 | 01-Feb-1992,1,01-Jul-1983,2,01-Jun-1984 | 01-Jan-2001,1,01-Oct-1983,1,01-Jun-1984,1,01-Jul-1983
CES1021000001,Labor Market,1,1,1,3,01-Jul-1976 | 01-Feb-1983 | 01-Aug-1989,1,01-Sep-1986,2,01-Sep-1986 | 01-Sep-2001,3,01-Sep-1986 | 01-Mar-1994 | 01-Jul-2001,0,,2,01-Nov-1974 | 01-Oct-1981
USCONS,Labor Market,1,1,1,3,01-Aug-1983 | 01-Oct-1989 | 01-Feb-1992,2,01-Jun-1968 | 01-Mar-1984,3,01-Sep-1983 | 01-Nov-1989 | 01-Feb-1996,1,01-Mar-1984,1,01-Jun-1984,1,01-Mar-1984
MANEMP,Labor Market,1,1,1,1,01-Apr-1984,1,01-Sep-1983,1,01-Apr-1984,2,01-May-1983 | 01-Oct-1989,1,01-Apr-1984,1,01-May-1983
DMANEMP,Labor Market,1,1,1,3,01-Nov-1982 | 01-Aug-1989 | 01-Jan-1992,1,01-Nov-1983,3,01-Jul-1984 | 01-Jun-1997 | 01-Aug-2003,3,01-May-1983 | 01-Dec-1989 | 01-Jun-2001,1,01-Apr-1984,1,01-Sep-1983
NDMANEMP,Labor Market,1,1,1,2,01-Jul-1974 | 01-Nov-1982,2,01-Sep-1974 | 01-Aug-1982,4,01-Jul-1974 | 01-Apr-1984 | 01-Dec-1997 | 01-Feb-2004,2,01-Sep-1974 | 01-Aug-1982,0,,0,
SRVPRD,Labor Market,1,1,1,1,01-Mar-1992,2,01-Oct-1983 | 01-Jul-1991,1,01-Nov-1984,2,01-Sep-1983 | 01-Jun-1991,0,,0,
USTPU,Labor Market,1,1,1,1,01-Sep-1992,1,01-Jul-1965,4,01-Nov-1984 | 01-Oct-1994 | 01-Dec-2000 | 01-Mar-2004,1,01-Sep-1965,0,,0,
USWTRADE,Labor Market,1,1,1,1,01-Mar-1993,1,01-Feb-1991,0,,1,01-Sep-1980,0,,0,
USTRADE,Labor Market,1,1,1,1,01-Sep-1992,1,01-Jan-1968,4,01-Apr-1965 | 01-Sep-1992 | 01-Nov-1999 | 01-Jul-2003,1,01-Jan-1968,0,,0,
USFIRE,Labor Market,1,1,1,1,01-Jun-1966,2,01-Jan-1966 | 01-Apr-1980,1,01-May-1966,0,,0,,0,
USGOVT,Labor Market,1,1,1,2,01-Jan-1967 | 01-Jul-1982,1,01-Nov-1990,1,01-Jul-1982,1,01-Nov-1990,0,,0,
CES0600000007,Labor Market,1,1,1,4,01-Mar-1974 | 01-Oct-1980 | 01-Feb-1987 | 01-Jul-1993,1,01-Mar-1984,5,01-Mar-1974 | 01-May-1983 | 01-Mar-1993 | 01-Mar-2000 | 01-May-2006,2,01-Feb-1984 | 01-Dec-1992,5,01-Jul-1983 | 01-Jul-1993 | 01-Nov-2011 | 01-Apr-2020 | 01-May-2022,0,
AWOTMAN,Labor Market,1,1,1,0,,0,,1,01-May-1996,1,01-May-1996,0,,0,
AWHMAN,Labor Market,1,1,1,5,01-Oct-1974 | 01-Jun-1983 | 01-Nov-1986 | 01-May-1989 | 01-Aug-1993,1,01-Mar-1984,5,01-Aug-1974 | 01-May-1983 | 01-Aug-1993 | 01-Dec-1999 | 01-Feb-2006,0,,0,,0,
HOUST,Housing / Construction,1,1,1,4,01-Feb-1964 | 01-Nov-1970 | 01-Oct-1982 | 01-Aug-1993,1,01-Feb-1991,3,01-Nov-1970 | 01-Aug-1993 | 01-Oct-2001,3,01-Feb-1991 | 01-Mar-2000 | 01-Dec-2001,5,01-Oct-1970 | 01-Nov-2004 | 01-Aug-2012 | 01-Nov-2015 | 01-Sep-2022,0,
HOUSTNE,Housing / Construction,1,1,1,0,,0,,1,01-Oct-1997,2,01-Mar-1984 | 01-Jun-1991,5,01-Jan-1966 | 01-Feb-1974 | 01-Jan-1996 | 01-Apr-2007 | 01-Jun-2013,1,01-Apr-2008
